X,Y,Z,Name,FID,Field_1,LINEA,RUTA,SISTEMA
-99.14168622,19.36918719,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14145261,19.37071664,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14092357,19.37427034,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14084336,19.37476058,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14080703,19.37498777,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14030253,19.37880672,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14006076,19.38033794,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13907118,19.38684952,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13883764,19.38837619,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13793485,19.39442867,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13768797,19.39595248,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13701319,19.40013193,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13677718,19.40166257,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13573698,19.40843768,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13550002,19.40991729,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13466682,19.4152113,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13440009,19.41691396,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13400673,19.41938573,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13396309,19.41964401,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13388465,19.41988652,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13379254,19.4200444,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1336747,19.42017648,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13354324,19.42029278,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13314328,19.42064643,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13297514,19.4208685,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13292083,19.42102349,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13287861,19.42117416,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13285303,19.42133199,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13284406,19.42145825,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13293087,19.42407214,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13297267,19.42526432,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13301856,19.42590702,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13301717,19.4260677,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13270276,19.42819903,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13232855,19.43089306,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13221123,19.43332917,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13211689,19.43408296,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13210698,19.43428621,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13212475,19.43445118,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13215257,19.43457072,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13220423,19.43468426,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13228379,19.43475952,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13241836,19.43484595,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13253344,19.43491476,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13268975,19.43496247,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13318614,19.43504494,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.13595843,19.43542037,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1390003,19.43588071,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14076103,19.43622104,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14289069,19.43661248,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14769874,19.43764924,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1483542,19.43779313,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.14929501,19.43795399,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.15202882,19.43855237,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.15314211,19.43879246,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.15336836,19.4388705,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.15352255,19.43893638,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.1566014,19.44020583,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
-99.15778191,19.44069631,0,STC Metro,1,STC Metro,2,Cuatro Caminos - Tasqueña,STC Metro
